Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
 Èerný rytíø 	 Èerní rytíøi	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	Nemrtvý.
 Šance proklít nepøítele.	DOUBLE_WIDE | IS_UNDEAD
Hrozivý rytíø 	Hroziví rytíøi	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	"Nemrtvý. Šance proklít nepø. Šance útoku úderem smrti."	DOUBLE_WIDE | IS_UNDEAD
Kostìný drak	Kostìní draci	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	Nemrtvý. -1 morálka nepøátel.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Pøízraèný drak	Pøízraèní draci	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	Nemrtvý. -1 morálka nepøátel. Možnost zestárnutí nepøítele.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
Troglodyt	Troglodyti	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	Imunní vùèi slepotì.	0
Pekelný troglodyt	Pekelní troglodyti	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	Imunní vùèi slepotì.	0
Harpyje	Harpyje	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	Po útoku se vrací zpìt.	FLYING_ARMY
Stará harpyje	Staré harpyje	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	"Po útoku se vrací zpìt.
Nepøítel nevrací úder."	FLYING_ARMY
Pozorovatel	Pozorovatelé 	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	Boj zblízka bez postihu.	SHOOTING_ARMY | const_no_melee_penalty
Oko zla	Oèi zla	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	Boj zblízka bez postihu.	SHOOTING_ARMY | const_no_melee_penalty
Medúza	Medúzy	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"Boj zblízka bez postihu.
Zkameòující pohled."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Královna medúz	Královny medúz	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"Boj zblízka bez postihu.
Zkameòující pohled."	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Minotaurus	Minotauøi	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Vysoká morálka.	0
Král minotaurù 	Králové minotaurù 	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Vysoká morálka.	0
Mantikora	Mantikory	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
 Škorpikora	 Škorpikory	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	 Šance paralyzovat nepøítele.	DOUBLE_WIDE | FLYING_ARMY
 Èervený drak	 Èervení draci	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Imunní vùèi kouzlùm 1.-3. stupnì.	DOUBLE_WIDE | FLYING_ARMY | KING_1
 Èerný drak	 Èerní draci	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Imunní vùèi všem kouzlùm.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Goblin	Goblini	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
Hobgoblin	Hobgoblini	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
Vlèí jezdec	Vlèí jezdci	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
Vlèí nájezdník	Vlèí nájezdníci	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	 Útoèí 2x.	DOUBLE_WIDE
Skøet	Skøeti	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
Skøetí náèelník	Skøetí náèelníci	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
Zlobr	Zlobøi	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
Zlobøí mág	Zlobøí mágové 	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	Umí seslat krvežíznivost.	0
Roch	Rochové 	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
Hromový pták	Hromoví ptáci	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	 Šance na úder bleskem.	FLYING_ARMY | DOUBLE_WIDE
Kyklop	Kyklopové 	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Mùže útoèit na hradby.	SHOOTING_ARMY | CATAPULT
Král kyklopù 	Králové kyklopù 	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	Mùže útoèit na hradby.	SHOOTING_ARMY | CATAPULT
Behemot	Behemoti	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	Sníží obranu nepøítele o 40%.	DOUBLE_WIDE | KING_1
Starovìký behemot	Starovìcí behemoti	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	Sníží obranu nepøítele o 80%.	DOUBLE_WIDE | KING_1
																								
																								
																								
Gnol	Gnolové 	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
Gnolí nájezdník	Gnolí nájezdníci	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
Ještìrèí muž 	Ještìrèí muži	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY
Ještìrèí voják	Ještìrèí vojáci	0	0	0	0	0	0	140	130	156	9	0	15	5	5	8	2	5	24	0	16	25		SHOOTING_ARMY
Gorgona	Gorgony	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
Mocná gorgona	Mocné gorgony	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	Smrtící pohled.	DOUBLE_WIDE
Hadí vážka	Hadí vážky	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	10	20	Ruší nepøíteli kladná kouzla.	FLYING_ARMY
Draèí vážka	Draèí vážky	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	10	16	Ruší nepøíteli kladná kouzla. Kouzlí slabost.	FLYING_ARMY
Bazilišek	Bazilišci	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	Zkameòující pohled.	DOUBLE_WIDE
Velký bazilišek	Velcí bazilišci	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	Zkameòující pohled.	DOUBLE_WIDE
Ještìr	Ještìøi	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Ještìøí vládce	Ještìøí vládci	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	 Šance otrávit nepøítele jedem.	DOUBLE_WIDE | FLYING_ARMY
Hydra	Hydry	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	 Útok na všechny nepøátele kolem. Nepøítel nevrací úder.	DOUBLE_WIDE | KING_1
Hydra chaosu	Hydry chaosu	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	 Útok na všechny nepøátele kolem. Nepøítel nevrací úder.	DOUBLE_WIDE | KING_1
																								
																								
																								
Vzdušný elementál	Vzdušní elementálové 	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	Blesk a oheò pùsobí 2x vìtší škody.	0
Zemský elementál	Zemští elementálové 	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	Pád meteoritù pùsobí 2x vìtší škody.	0
Ohnivý elementál	Ohniví elementálové 	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	"Imunní vùèi ohni.
Led pùsobí 2x vìtší škody."	0
Vodní elementál	Vodní elementálové 	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	"Imunní vùèi ledu.
Oheò pùsobí 2x vìtší škody."	0
Zlatý golem	Zlatí golemové 	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	Kouzla mu zpùsobí jen 15% škod.	0
Diamantový golem	Diamantoví golemové 	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	Kouzla mu zpùsobí jen 5% škod.	0
																								
																								
																								
Skøítek	Skøítci	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
Víla	Víly	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	Nepøítel nevrací úder.	FLYING_ARMY | const_free_attack
Psychický elementál	Psychiètí elementálové 	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	 Útok na všechny nepø. kolem bez vracení úderu. Imunní mysl.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
Magický elementál	Magiètí elementálové 	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	 Útok na všechny kolem bez vr. úderu. Imunní vùèi kouzlùm.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Ledový elementál	Ledoví elementálové 	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	Imunní vùèi kouzlùm mysli a ledu. Oheò pùsobí 2x více škod.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Magmatický elementál	Magmatiètí elementálové 	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	Imunní vùèi kouzlùm mysli. Umí seslat ochranu pøed zemí.	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Bouøkový elementál	Bouøkoví elementálové 	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	Boj zblízka bez postihu. Blesk a oheò pùsobí 2x vìtší škody.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Energetický elementál	Energetiètí elementálové 	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	"Imunní vùèi mysli a ohni. Umí seslat ochranu pøed ohnìm.
Led pùsobí 2x vìtší škody."	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
Ohnivák	Ohniváci	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	 Útok pøes 2 pole. Imunní vùèi ohni.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Fénix	Fénixové 	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	 Útok pøes 2 pole. Imunní vùèi ohni. Znovuzrození.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
Azurový drak	Azuroví draci	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Strach.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Krystalový drak	Krystaloví draci	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Vytváøí 3 krystaly týdnì.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Pohádkový drak	Pohádkoví draci	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	 Útok pomocí útoèných kouzel.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Rezavý drak	Rezaví draci	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Plive kyselinu.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Kouzelník	Kouzelníci	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	"Boj zblízka bez postihu.
Umí seslat skup. kouzla."	SHOOTING_ARMY | const_no_melee_penalty
Ostrostøelec	Ostrostøelci	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	Plný zásah pøi støelbì na vzdálené cíle.	SHOOTING_ARMY
Hobit	Hobiti	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	+1 štìstí.	SHOOTING_ARMY
Rolník	Rolníci	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Kanec	Kanci	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Mumie	Mumie	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	 Šance proklít nepøítele.	
Koèovník	Koèovníci	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	Rychlejší na písku.	
Zlodìj	Zlodìji	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	 Špion.	
Trol	Trolové 	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Regenerace.	
																								
																								
																								
Katapult	Katapult	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	 Útok na hradní hradby.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Balista	Balistu	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
Stan první pomoci	Stan první pomoci	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Léèí bojovníky.	DOUBLE_WIDE | SIEGE_WEAPON
Vozík se støelivem	Vozík se støelivem	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	Nevyèerpatelné støelivo.	SIEGE_WEAPON
Strážní vìž 	Strážní vìže	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	Nevyèerpatelné støelivo.	SIEGE_WEAPON
